winner_name,loser_name,event_name,bout_date,method,source_url
Justin Gaethje,Ilia Topuria,UFC Freedom 250: Topuria vs. Gaethje,2026-06-14,TKO,https://ufcstats.com/fighter-details/9e8f6c728eb01124
Justin Gaethje,Paddy Pimblett,UFC 324: Gaethje vs. Pimblett,2026-01-24,Decision,https://www.espn.com/mma/fighter/history/_/id/3022345/justin-gaethje
Justin Gaethje,Rafael Fiziev,UFC 313: Pereira vs. Ankalaev,2025-03-08,Decision,https://www.espn.com/mma/fighter/history/_/id/3022345/justin-gaethje
King Green,Jeremy Stephens,UFC 328: Chimaev vs. Strickland,2026-05-09,Submission - Rear-Naked Choke,https://www.sherdog.com/fighter/King-Green-27953
King Green,Daniel Zellhuber,UFC Fight Night 268: Moreno vs. Kavanagh,2026-02-28,TKO - Punches,https://www.sherdog.com/fighter/King-Green-27953
King Green,Lance Gibson Jr.,UFC on ESPN 73: Royval vs. Kape,2025-12-13,Decision - Split,https://www.sherdog.com/fighter/King-Green-27953
Mauricio Ruffy,King Green,UFC 313: Pereira vs. Ankalaev,2025-03-08,KO - Spinning Wheel Kick,https://www.sherdog.com/fighter/King-Green-27953
